latitude,longitude
26.399708846960152,87.30122293425296
26.399708846960152,87.60122430653752
26.399708846960152,88.00122613625024
26.49970930438834,86.60121973225569
26.49970930438834,86.70122018968385
26.49970930438834,86.80122064711202
26.49970930438834,86.90122110454024
26.49970930438834,87.10122201939657
26.49970930438834,87.2012224768248
26.49970930438834,87.30122293425296
26.49970930438834,87.40122339168113
26.49970930438834,87.50122384910935
26.49970930438834,87.60122430653752
26.49970930438834,87.70122476396568
26.49970930438834,87.8012252213939
26.49970930438834,87.90122567882207
26.49970930438834,88.00122613625024
26.599709761816527,85.90121653025835
26.599709761816527,86.20121790254291
26.599709761816527,86.4012188173993
26.599709761816527,86.50121927482746
26.599709761816527,86.60121973225569
26.599709761816527,86.70122018968385
26.599709761816527,86.80122064711202
26.599709761816527,86.90122110454024
26.599709761816527,87.0012215619684
26.599709761816527,87.10122201939657
26.599709761816527,87.2012224768248
26.599709761816527,87.30122293425296
26.599709761816527,87.40122339168113
26.599709761816527,87.50122384910935
26.599709761816527,87.60122430653752
26.599709761816527,87.70122476396568
26.599709761816527,87.8012252213939
26.599709761816527,87.90122567882207
26.599709761816527,88.00122613625024
26.599709761816527,88.10122659367846
26.699710219244707,85.80121607283019
26.699710219244707,85.90121653025835
26.699710219244707,86.00121698768658
26.699710219244707,86.10121744511474
26.699710219244707,86.20121790254291
26.699710219244707,86.30121835997113
26.699710219244707,86.4012188173993
26.699710219244707,86.50121927482746
26.699710219244707,86.60121973225569
26.699710219244707,86.70122018968385
26.699710219244707,86.80122064711202
26.699710219244707,86.90122110454024
26.699710219244707,87.0012215619684
26.699710219244707,87.10122201939657
26.699710219244707,87.2012224768248
26.699710219244707,87.30122293425296
26.699710219244707,87.40122339168113
26.699710219244707,87.50122384910935
26.699710219244707,87.60122430653752
26.699710219244707,87.70122476396568
26.699710219244707,87.8012252213939
26.699710219244707,87.90122567882207
26.699710219244707,88.00122613625024
26.699710219244707,88.10122659367846
26.79971067667289,85.20121332826108
26.79971067667289,85.30121378568924
26.79971067667289,85.40121424311747
26.79971067667289,85.80121607283019
26.79971067667289,85.90121653025835
26.79971067667289,86.00121698768658
26.79971067667289,86.10121744511474
26.79971067667289,86.20121790254291
26.79971067667289,86.30121835997113
26.79971067667289,86.4012188173993
26.79971067667289,86.50121927482746
26.79971067667289,86.60121973225569
26.79971067667289,86.70122018968385
26.79971067667289,86.80122064711202
26.79971067667289,86.90122110454024
26.79971067667289,87.0012215619684
26.79971067667289,87.10122201939657
26.79971067667289,87.2012224768248
26.79971067667289,87.30122293425296
26.79971067667289,87.40122339168113
26.79971067667289,87.50122384910935
26.79971067667289,87.60122430653752
26.79971067667289,87.70122476396568
26.79971067667289,87.8012252213939
26.79971067667289,87.90122567882207
26.79971067667289,88.00122613625024
26.79971067667289,88.10122659367846
26.89971113410108,85.00121241340469
26.89971113410108,85.10121287083291
26.89971113410108,85.20121332826108
26.89971113410108,85.30121378568924
26.89971113410108,85.40121424311747
26.89971113410108,85.50121470054563
